DAY,Featured,Visitor,Wishlists,Wishlists Deletes
2023-03-10,506 ,1454 ,198 ,1 
2023-03-11,1968 ,457 ,87 ,0 
2023-03-12,2874 ,323 ,69 ,0 
2023-03-13,2077 ,423 ,68 ,2 
2023-03-14,2178 ,640 ,106 ,1 
2023-03-15,2194 ,689 ,110 ,4 
2023-03-16,4087 ,411 ,84 ,0 
2023-03-17,6168 ,284 ,38 ,2 
2023-03-18,6883 ,297 ,43 ,2 
2023-03-19,6677 ,240 ,61 ,0 
2023-03-20,5713 ,1238 ,259 ,4 
2023-03-21,6401 ,4069 ,98 ,1 
2023-03-22,6029 ,537 ,57 ,1 
2023-03-23,5711 ,365 ,37 ,1 
2023-03-24,3610 ,367 ,33 ,0 
2023-03-25,4057 ,290 ,29 ,1 
2023-03-26,4080 ,222 ,27 ,1 
2023-03-27,3131 ,224 ,21 ,0 
2023-03-28,2834 ,254 ,17 ,0 
2023-03-29,2752 ,241 ,19 ,0 
2023-03-30,2799 ,285 ,17 ,2 
2023-03-31,3230 ,436 ,19 ,2 
2023-04-01,3985 ,301 ,19 ,4 
2023-04-02,4119 ,254 ,28 ,0 
2023-04-03,3065 ,320 ,25 ,0 
2023-04-04,2631 ,253 ,11 ,0 
2023-04-05,2560 ,251 ,13 ,1 
2023-04-06,2505 ,191 ,21 ,0 
2023-04-07,299 ,226 ,19 ,1 
2023-04-08,3266 ,213 ,16 ,0 
2023-04-09,3203 ,248 ,20 ,1 
2023-04-10,2564 ,324 ,10 ,0 
2023-04-11,2142 ,217 ,10 ,2 
2023-04-12,1557 ,202 ,6 ,1 
2023-04-13,1406 ,197 ,10 ,0 
2023-04-14,1260 ,156 ,12 ,2 
2023-04-15,1579 ,143 ,14 ,0 
2023-04-16,1177 ,124 ,6 ,0 
2023-04-17,851 ,202 ,14 ,0 
2023-04-18,710 ,163 ,9 ,0 
2023-04-19,742 ,260 ,8 ,0 
2023-04-20,1135 ,768 ,58 ,0 
2023-04-21,1728 ,660 ,116 ,6 
2023-04-22,2978 ,997 ,149 ,3 
2023-04-23,3410 ,564 ,76 ,3 
2023-04-24,3748 ,650 ,44 ,7 
2023-04-25,3892 ,387 ,43 ,3 
2023-04-26,3482 ,327 ,33 ,2 
2023-04-27,3442 ,324 ,32 ,1 
2023-04-28,4172 ,328 ,31 ,8 
2023-04-29,5021 ,305 ,33 ,2 
2023-04-30,5188 ,280 ,28 ,2 
2023-05-01,4177 ,250 ,25 ,0 
2023-05-02,3628 ,302 ,19 ,1 
2023-05-03,3427 ,291 ,17 ,0 
2023-05-04,3470 ,273 ,19 ,1 
2023-05-05,3466 ,252 ,20 ,1 
2023-05-06,3661 ,280 ,15 ,1 
2023-05-07,3407 ,248 ,14 ,1 
2023-05-08,2899 ,236 ,24 ,2 
2023-05-09,2593 ,651 ,25 ,2 
2023-05-10,2481 ,205 ,56 ,1 
2023-05-11,1871 ,365 ,88 ,3 
2023-05-12,2866 ,434 ,80 ,7 
2023-05-13,3505 ,453 ,83 ,1 
2023-05-14,3541 ,362 ,20 ,2 
2023-05-15,2985 ,267 ,15 ,2 
2023-05-16,2936 ,305 ,15 ,1 
2023-05-17,3109 ,286 ,12 ,1 
2023-05-18,3880 ,277 ,20 ,8 
2023-05-19,4065 ,282 ,15 ,2 
2023-05-20,4355 ,242 ,13 ,2 
2023-05-21,4524 ,247 ,24 ,2 
2023-05-22,3580 ,269 ,15 ,3 
2023-05-23,3252 ,344 ,20 ,4 
2023-05-24,3198 ,388 ,23 ,4 
2023-05-25,3296 ,611 ,31 ,4 
2023-05-26,3613 ,4952 ,98 ,3 
2023-05-27,4111 ,2447 ,79 ,4 
2023-05-28,4165 ,2263 ,50 ,2 
2023-05-29,3713 ,2215 ,44 ,4 
2023-05-30,3089 ,4826 ,70 ,3 
2023-05-31,3402 ,4636 ,93 ,5 
2023-06-01,3881 ,6560 ,229 ,8 
2023-06-02,4011 ,9710 ,227 ,21 
2023-06-03,4463 ,7092 ,135 ,20 
2023-06-04,4716 ,7569 ,136 ,16 
2023-06-05,3774 ,1449 ,42 ,5 
2023-06-06,4012 ,693 ,49 ,5 
2023-06-07,13607 ,975 ,265 ,10 
2023-06-08,25164 ,1228 ,233 ,12 
2023-06-09,23010 ,1264 ,159 ,11 
2023-06-10,66721 ,7832 ,2402 ,67 
2023-06-11,50543 ,11128 ,839 ,38 
2023-06-12,34012 ,4759 ,456 ,18 
2023-06-13,29875 ,3991 ,335 ,22 
2023-06-14,27600 ,3915 ,250 ,13 
2023-06-15,24857 ,3895 ,158 ,15 
2023-06-16,17048 ,10655 ,161 ,11 
2023-06-17,20199 ,6089 ,149 ,10 
2023-06-18,20574 ,7650 ,164 ,10 
2023-06-19,275370 ,11775 ,1001 ,112 
2023-06-20,439339 ,19520 ,1116 ,163 
2023-06-21,271338 ,14517 ,583 ,93 
2023-06-22,230945 ,10786 ,406 ,87 
2023-06-23,117439 ,7212 ,230 ,70 
2023-06-24,73057 ,5924 ,175 ,55 
2023-06-25,101146 ,4400 ,231 ,53 
2023-06-26,64790 ,2667 ,120 ,32 
2023-06-27,19966 ,1086 ,57 ,17 
2023-06-28,17539 ,940 ,59 ,16 
2023-06-29,26590 ,735 ,80 ,32 
2023-06-30,43365 ,572 ,77 ,39 
2023-07-01,37316 ,438 ,80 ,29 
2023-07-02,33799 ,447 ,48 ,24 
2023-07-03,27903 ,469 ,37 ,18 
2023-07-04,19517 ,926 ,17 ,13 
2023-07-05,15774 ,685 ,13 ,20 
2023-07-06,14001 ,586 ,14 ,19 
2023-07-07,11994 ,689 ,18 ,12 
2023-07-08,13253 ,639 ,27 ,11 
2023-07-09,11605 ,1823 ,8 ,19 
2023-07-10,9144 ,1058 ,18 ,7 
2023-07-11,8480 ,789 ,5 ,20 
2023-07-12,8767 ,529 ,8 ,15 
2023-07-13,5994 ,480 ,12 ,14 
2023-07-14,4069 ,482 ,8 ,9 
2023-07-15,4713 ,436 ,15 ,8 
2023-07-16,4765 ,398 ,1 ,9 
2023-07-17,3993 ,369 ,6 ,6 
2023-07-18,3820 ,398 ,10 ,17 
2023-07-19,3415 ,317 ,9 ,2 
2023-07-20,3403 ,274 ,13 ,10 
2023-07-21,4533 ,423 ,20 ,13 
2023-07-22,5863 ,403 ,14 ,9 
2023-07-23,5509 ,332 ,22 ,8 
2023-07-24,4722 ,353 ,17 ,5 
2023-07-25,4507 ,364 ,20 ,6 
2023-07-26,4536 ,309 ,23 ,5 
2023-07-27,4032 ,331 ,14 ,6 
2023-07-28,4005 ,337 ,16 ,9 
2023-07-29,5301 ,346 ,11 ,5 
2023-07-30,5386 ,370 ,18 ,5 
2023-07-31,5261 ,343 ,14 ,12 
2023-08-01,5193 ,357 ,11 ,3 
2023-08-02,5163 ,346 ,10 ,8 
2023-08-03,4840 ,308 ,9 ,5 
2023-08-04,4551 ,315 ,16 ,8 
2023-08-05,5184 ,293 ,18 ,5 
2023-08-06,5309 ,317 ,20 ,10 
2023-08-07,4561 ,309 ,18 ,10 
2023-08-08,4231 ,298 ,13 ,3 
2023-08-09,4163 ,286 ,17 ,6 
2023-08-10,4349 ,269 ,10 ,10 
2023-08-11,4285 ,291 ,12 ,6 
2023-08-12,4628 ,307 ,13 ,6 
2023-08-13,4715 ,291 ,12 ,3 
2023-08-14,4147 ,265 ,13 ,7 
2023-08-15,4095 ,277 ,10 ,3 
2023-08-16,4367 ,333 ,13 ,5 
2023-08-17,4309 ,302 ,12 ,5 
2023-08-18,4095 ,281 ,14 ,2 
2023-08-19,5230 ,292 ,16 ,7 
2023-08-20,5652 ,300 ,14 ,5 
2023-08-21,4623 ,264 ,14 ,5 
2023-08-22,5093 ,332 ,9 ,8 
2023-08-23,5060 ,322 ,11 ,5 
2023-08-24,4549 ,289 ,14 ,5 
2023-08-25,5619 ,368 ,16 ,6 
2023-08-26,6713 ,301 ,16 ,9 
2023-08-27,6863 ,310 ,17 ,6 
2023-08-28,5712 ,300 ,15 ,5 
2023-08-29,5394 ,353 ,21 ,6 
2023-08-30,4929 ,284 ,13 ,9 
2023-08-31,5077 ,279 ,9 ,5 
2023-09-01,5313 ,296 ,12 ,5 
2023-09-02,5852 ,308 ,19 ,14 
2023-09-03,6072 ,320 ,11 ,9 
2023-09-04,5344 ,311 ,19 ,5 
2023-09-05,5216 ,304 ,14 ,4 
2023-09-06,5052 ,334 ,18 ,6 
2023-09-07,4953 ,296 ,20 ,4 
2023-09-08,5116 ,279 ,19 ,9 
2023-09-09,6308 ,313 ,16 ,7 
